variable,variable_short,variable_name,description,table,data_type,statistical_type,allowed_range,allowed_values,normal_range,normal_values,units,category,mapping,worse_direction,variable_level,info,NSCLC,PCa
is_baseline,is_baseline,Is Baseline,Whether the visit is baseline,"[""outcomes"", ""longitudinal"", ""baseline""]",bool,binary,[],"[0, 1]",[],[],,metadata,,,,,,1
is_screening,is_screening,Is Screening,Whether the visit is screening,"[""outcomes"", ""longitudinal"", ""baseline""]",bool,binary,[],"[0, 1]",[],[],,metadata,,,,,,1
nominal_study_day,nominal_study_day,Nominal Study Day,Nominal study day,[],int,ordinal,[],[],[],[],,metadata,,,,,,1
nominal_visit_number,nominal_visit_number,Nominal Visit Number,Nominal visit number,[],int,ordinal,[],[],[],[],,metadata,,,,,,1
study_day,study_day,Study Day,"Study day, measured in days since study start or randomization",[],float64,continuous,[],[],[],[],,metadata,,,,,,1
visit_name,visit_name,Visit Name,Visit name,"[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,metadata,,,,,,1
arm_name,arm_name,Study Arm Name,Treatment arm name,"[""longitudinal"", ""baseline""]",str,categorical,[],[],[],[],,study details,,,,,,1
intervention_type,intervention_type,Type of Intervention,Type of intervention the subject is on,[],int,categorical,[],[],[],[],,study details,,,,,,1
is_clinical_trial,is_clinical_trial,Clinical Trial,Whether the participant is participating in a clinical trial,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,study details,,,,,,1
study_name,study_name,Study Name,Study name,"[""static"", ""baseline""]",str,categorical,[],[],[],[],,study details,,,,,,1
age,age,Age,Age measured at baseline,"[""static"", ""baseline""]",float64,continuous,[],[],[],[],years,demographics,,,,,1,1
sex_f,sex_f,Sex,Biological sex at birth,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,demographics,,,,,1,1
race,race,Race,Race reported by the participant,"[""static"", ""baseline""]",str,categorical,[],"[""race_asian"", ""race_black"", ""race_white"", ""race_native_american"",""race_pacific_islander"",""race_other"",""race_multiple""]",[],[],,demographics,"{""race_asian"": ""Asian"", ""race_black"": ""Black"", ""race_white"": ""White"", ""race_other"": ""Other Race""}",,,,1,1
ethnicity_hispanic,ethnicity_hispanic,Hispanic Ethnicity,Whether the participant reports Hispanic ethnicity,"[""static"", ""baseline""]",int,binary,[],"[0, 1]",[],[],,demographics,,,,,1,1
region,region,Region,Geographic region in which the participant resides,"[""static"", ""baseline""]",str,categorical,[],"[""region_northern_america"", ""region_europe"", ""region_asia"", ""region_other""]",[],[],,demographics,"{""region_northern_america"": ""Northern America"", ""region_europe"": ""Europe"", ""region_other"": ""Other Region""}",,,,1,1
education_level,education_level,Level of Education,Highest level of education attained,[],int,ordinal,[],"[1, 2, 3, 4, 5]",[],[],,demographics,"{""1"": ""Less than high school"", ""2"": ""High school diploma, GED"", ""3"": ""Some college, associates degree"", ""4"": ""College degree"", ""5"": ""Graduate school""}",,,,,1
annual_household_income,annual_household_income,Annual Household Income,Annual household income,[],int,ordinal,[],"[1, 2, 3, 4, 5]",[],[],,demographics,"{""1"": ""<25k"", ""2"": ""25-50k"", ""3"": ""50-75k"", ""4"": ""75-100k"", ""5"": "">100k""}",,,,,1
height,height,Height,Height in cm,"[""static"", ""baseline""]",float64,continuous,"[80.0, 210.0]",[],[],[],cm,vital signs,,,,,,1
weight,weight,Weight,Weight,"[""longitudinal"", ""baseline""]",float64,continuous,"[1.0, 210.0]",[],[],[],kg,vital signs,,high,,,,1
waist_circumference,waist_circumference,Waist circumference in cm,Waist circumference measured in cm,[],float64,continuous,"[0.0, 200.0]",[],"[0.0, 102.0]",[],cm,vital signs,,high,,,,1
bmi,bmi,Body Mass Index,Body mass index (BMI),[],float64,continuous,"[5.0, 100.0]",[],"[18.5, 24.9]",[],kg/m^2,vital signs,,outer,,,,1
category_bmi,category_bmi,Body Mass Index Category,"Category based on body mass index (BMI). Either underweight (BMI < 18.5), normal weight (BMI 18.5 to 24.9, overweight (BMI 25 to 29.9), Obesity Class I (BMI 30 to 34.9), Obesity Class II (BMI 35 to 39.9) or Obesity Class II (BMI >40).",[],str,categorical,[],"[""underweight"", ""normal_weight"", ""overweight"", ""obesity_class1"", ""obesity_class2"", ""obesity_class3"", ""obese""]",[],"[""normal_weight""]",,vital signs,"{""underweight"": ""Underweight (BMI < 18.5)"", ""normal_weight"": ""Normal weight (BMI 18.5 to 24.9)"", ""overweight"": ""Overweight (BMI 25 to 29.9)"", ""obesity_class1"": ""Obesity Class I (BMI 30 to 34.9)"", ""obesity_class2"": ""Obesity Class II (BMI 35 to 39.9)"", ""obesity_class3"": ""Obesity Class III (BMI >40)""}",,,,,1
body_fat,body_fat,Percent Body Fat,Percent body fat in units of %,[],float64,continuous,"[0.0, 100.0]",[],[],[],%,vital signs,,high,,,,1
body_fat_device,body_fat_device,Body Fat Device,Device used to capture body fat measure,[],str,categorical,[],[],[],[],,metadata,,,,,,1
diastolic_blood_pressure,diastolic_blood_pressure,Diastolic Blood Pressure,Diastolic blood pressure in units of mmHg,"[""longitudinal"", ""baseline""]",float64,continuous,"[30.0, 170.0]",[],"[60.0, 80.0]",[],mmHg,vital signs,,outer,,,,1
systolic_blood_pressure,systolic_blood_pressure,Systolic Blood Pressure,Systolic blood pressure in units of mmHg,"[""longitudinal"", ""baseline""]",float64,continuous,"[70.0, 250.0]",[],"[90.0, 120.0]",[],mmHg,vital signs,,outer,,,,1
heart_rate,heart_rate,Heart Rate,Heart rate in beats/min. Also called pulse.,"[""longitudinal"", ""baseline""]",float64,continuous,"[30.0, 200.0]",[],"[60, 100]",[],bpm,vital signs,,outer,,,,1
respiratory_rate,respiratory_rate,Respiratory Rate,Respiratory rate in breaths/min,"[""longitudinal"", ""baseline""]",float64,continuous,"[0, 100]",[],"[12, 20]",[],breaths/min,Vital Signs,,outer,,,,
temperature,temperature,Temperature,Body temperature measured in celsius (C),"[""longitudinal"", ""baseline""]",float64,continuous,"[34.0, 41.0]",[],"[36.1, 37.2]",[],celsius,vital signs,,outer,,,,
